,case,C,T0,Tf,alpha,L,D,check,mean_time,efficacy,clusters
40,20x20.txt,2,30,0.002,0.8,30,12,4,2.39032054,0.4034090909090909,3
41,20x20.txt,2,30,0.002,0.8,30,18,4,2.39193451,0.4034090909090909,3
42,20x20.txt,2,30,0.002,0.8,70,6,4,16.76635599,0.4244604316546763,5
43,20x20.txt,2,30,0.002,0.8,70,12,4,5.4435333,0.4034090909090909,3
44,20x20.txt,2,30,0.002,0.8,70,18,4,5.47052848,0.4034090909090909,3
45,20x20.txt,2,30,0.002,0.9,10,6,4,1.17382753,0.4244604316546763,5
46,20x20.txt,2,30,0.002,0.9,10,12,4,0.14270902,0.4034090909090909,3
47,20x20.txt,2,30,0.002,0.9,10,18,4,0.15230203,0.4034090909090909,3
48,20x20.txt,2,30,0.002,0.9,30,6,4,9.836851,0.4244604316546763,5
49,20x20.txt,2,30,0.002,0.9,30,12,4,5.30486214,0.4034090909090909,3
50,20x20.txt,2,30,0.002,0.9,30,18,4,5.28389406,0.4034090909090909,3
51,20x20.txt,2,30,0.002,0.9,70,6,4,18.60571015,0.4244604316546763,5
52,20x20.txt,2,30,0.002,0.9,70,12,4,12.28737056,0.4034090909090909,3
53,20x20.txt,2,30,0.002,0.9,70,18,4,12.16477835,0.4034090909090909,3
54,20x20.txt,2,50,0.002,0.7,10,6,4,1.31321299,0.4244604316546763,5
55,20x20.txt,2,50,0.002,0.7,10,12,4,0.17193997,0.4034090909090909,3
56,20x20.txt,2,50,0.002,0.7,10,18,4,0.13038361,0.4034090909090909,3
57,20x20.txt,2,50,0.002,0.7,30,6,4,6.91141558,0.4244604316546763,5
58,20x20.txt,2,50,0.002,0.7,30,12,4,1.48683214,0.4034090909090909,3
59,20x20.txt,2,50,0.002,0.7,30,18,4,1.47813463,0.4034090909090909,3
60,20x20.txt,2,50,0.002,0.7,70,6,4,16.22322702,0.4244604316546763,5
61,20x20.txt,2,50,0.002,0.7,70,12,4,3.33444512,0.4034090909090909,3
62,20x20.txt,2,50,0.002,0.7,70,18,4,3.30579996,0.4034090909090909,3
63,20x20.txt,2,50,0.002,0.8,10,6,4,1.4253701,0.4244604316546763,5
64,20x20.txt,2,50,0.002,0.8,10,12,4,0.18407333,0.4034090909090909,3
65,20x20.txt,2,50,0.002,0.8,10,18,4,0.17123747,0.4034090909090909,3
66,20x20.txt,2,50,0.002,0.8,30,6,4,8.26898944,0.4244604316546763,5
67,20x20.txt,2,50,0.002,0.8,30,12,4,2.51420367,0.4034090909090909,3
68,20x20.txt,2,50,0.002,0.8,30,18,4,2.50154448,0.4034090909090909,3
